title,genre,file_path
'test','DnB',D:\MusicSubset\DnB\614music+dancingwithspiritsfreedl.mp3
'one04 866609','DnB',D:\MusicSubset\DnB\axaschaller+one04.mp3
'Dead or Alive','DnB',D:\MusicSubset\DnB\beatcomplot+deadoralive.mp3
'*DnB* Panacea 1Hit Free DL!!!','DnB',D:\MusicSubset\DnB\beatjunkierato+dnbpanacea1hitfreedl.mp3
'*Jungle* Sensi |#1Hit Free DL!!!','DnB',D:\MusicSubset\DnB\beatjunkierato+junglesensi1hitfreedl.mp3
'War Paint','DnB',D:\MusicSubset\DnB\blackheartthesamurai+warpaint.mp3
'Bloctronic - get gone (Final)','DnB',D:\MusicSubset\DnB\bloctronic+bloctronicgetgoneftjasmineknight.mp3
'Splashback','DnB',D:\MusicSubset\DnB\breakbeatpimp+splashback.mp3
'cspaceSlowGrooveVersion 408620','DnB',D:\MusicSubset\DnB\chemicalmike+cspaceslowgrooveversion.mp3
'ArpeggioHeaven','DnB',D:\MusicSubset\DnB\chromophore+arpeggioheaven.mp3
'Billy Eilish remix master','DnB',D:\MusicSubset\DnB\cupastateprod+billieeilishlovelyremixbycupastateprod.mp3
'DarK NebuLa  Elementmp3','DnB',D:\MusicSubset\DnB\darknebula+element.mp3
'Harlem Valley','DnB',D:\MusicSubset\DnB\deepcut+harlemvalleyluvtheme.mp3
'EatMe_-_Play_Again','DnB',D:\MusicSubset\DnB\eatme+eatmeplayagain.mp3
'Ermac','DnB',D:\MusicSubset\DnB\ermac+noizedemonzandebtfreeermacpfmix.mp3
'Evzone','DnB',D:\MusicSubset\DnB\evzone+ifstringscouldkill.mp3
'Nemesis','DnB',D:\MusicSubset\DnB\exit303+nemesis.mp3
'Gilly Grippz','DnB',D:\MusicSubset\DnB\gillygrippz+jungliztroundup.mp3
'a sock is pink among us','DnB',D:\MusicSubset\DnB\highlifestudios+9mmstraightupdustmix.mp3
'GOOD VIBRATION ( MELODIC JUNGL','DnB',D:\MusicSubset\DnB\inox23+goodvibrationmelodicjungletek140bpm.mp3
'Prototype (ft Stuart Rynn)','DnB',D:\MusicSubset\DnB\jamespaddock+prototypeftstuartrynn.mp3
'Massivemp3','DnB',D:\MusicSubset\DnB\koolaidtreez+massive.mp3
'Certified Dangerous','DnB',D:\MusicSubset\DnB\krystalrecordings+certifieddangerousdjmazzifeatseashadow.mp3
"""You Can't Escape Me""",'DnB',D:\MusicSubset\DnB\kylesnyder+youcantescapeme.mp3
'Poke','DnB',D:\MusicSubset\DnB\lemmino+lemminochallengerfreedownload.mp3
'Lexodius  F*** Off','DnB',D:\MusicSubset\DnB\lexodius+foff.mp3
'We Are Being Watched','DnB',D:\MusicSubset\DnB\lexodius+wearebeingwatched.mp3
'The Fever','DnB',D:\MusicSubset\DnB\lowtekpredator+thefever.mp3
'245','DnB',D:\MusicSubset\DnB\mctrickeyd+245.mp3
'Shambling Dead','DnB',D:\MusicSubset\DnB\oozish+shamblingdead.mp3
'Grounded','DnB',D:\MusicSubset\DnB\rememberingsteadyeddie+grounded.mp3
'Damnation Island','DnB',D:\MusicSubset\DnB\residentacid+damnationisland.mp3
'Arp Break','DnB',D:\MusicSubset\DnB\rickyoto+arpbreak.mp3
'Pretending','DnB',D:\MusicSubset\DnB\samuraichamploo123+pretending.mp3
'Lazy Piano (wersja poczatkowa)','DnB',D:\MusicSubset\DnB\sergiuszwinogrodzki+lazypianowersjapoczatkowa.mp3
'Starlight 05-08-2019 00-20-239','DnB',D:\MusicSubset\DnB\squeen68+starlight050820190020239.mp3
'mix','DnB',D:\MusicSubset\DnB\stellarartwars+mayflyftkarasquare.mp3
'SwitcherZ - The Jade Sword','DnB',D:\MusicSubset\DnB\switcherz+switcherzthejadesword.mp3
'Realisation','DnB',D:\MusicSubset\DnB\thrednet+realisation.mp3
'Kenny Rogers is Drunk','DnB',D:\MusicSubset\DnB\vectorvistar+kennyrogersisdrunk.mp3
'The War Within','Dubstep',D:\MusicSubset\Dubstep\001-1376930-The ARTISANS Beats-The War Within.mp3
'Asteroid','Dubstep',D:\MusicSubset\Dubstep\002-1272806-Syun Nakano-Asteroid.mp3
'Jager','Dubstep',D:\MusicSubset\Dubstep\003-1405009-Titan Slayer-Jager.mp3
'Controwla - Predator','Dubstep',D:\MusicSubset\Dubstep\004-1290381-lexoflex-Controwla - Predator.mp3
'Redemption','Dubstep',D:\MusicSubset\Dubstep\005-1351575-Killo-Gram-Redemption.mp3
'Cinematic Dubstep Trailer','Dubstep',D:\MusicSubset\Dubstep\006-1358334-T-Trider-Cinematic Dubstep Trailer.mp3
'Epic Electro Dubstep','Dubstep',D:\MusicSubset\Dubstep\007-1415139-SunSmileMusic-Epic Electro Dubstep.mp3
'Epic Dubstep Trailer','Dubstep',D:\MusicSubset\Dubstep\008-1335487-Martian-Epic Dubstep Trailer.mp3
'Action Epic Dubstep','Dubstep',D:\MusicSubset\Dubstep\009-1339148-GhostBoxAudio-Action Epic Dubstep.mp3
'The 4th Quadrant','Dubstep',D:\MusicSubset\Dubstep\01-1572996-Mischapex-The 4th Quadrant.mp3
'This is a dub','Dubstep',D:\MusicSubset\Dubstep\01-1622851-Mischapex-This is a dub.mp3
'Johaness Gilther - Why (Jockenbauer Mix)','Dubstep',D:\MusicSubset\Dubstep\010-1236322-2Inventions-Johaness Gilther - Why _Jockenbauer Mix_.mp3
'Epic Dubstep','Dubstep',D:\MusicSubset\Dubstep\011-1386899-Exselsor-Epic Dubstep.mp3
'Epic Dubstep Hybrid Orchestral','Dubstep',D:\MusicSubset\Dubstep\012-1419695-PetRUalitY-Epic Dubstep Hybrid Orchestral.mp3
'Inspiration Dubstep','Dubstep',D:\MusicSubset\Dubstep\013-1444150-AlexZavesa-Inspiration Dubstep.mp3
'Epic Cinematic Dubstep','Dubstep',D:\MusicSubset\Dubstep\014-999769-Akashic Records-Epic Cinematic Dubstep.mp3
'Dream','Dubstep',D:\MusicSubset\Dubstep\02-1572997-Mischapex-Dream.mp3
'Bad cup','Dubstep',D:\MusicSubset\Dubstep\02-1622854-Mischapex-Bad cup.mp3
'Cutoff-Sky -  In Between','Dubstep',D:\MusicSubset\Dubstep\02-1644944-Cutoff_Sky-Cutoff-Sky -  In Between.mp3
'Righteous','Dubstep',D:\MusicSubset\Dubstep\03-1572998-Mischapex-Righteous.mp3
'Tremes','Dubstep',D:\MusicSubset\Dubstep\03-1622853-Mischapex-Tremes.mp3
'Holy business','Dubstep',D:\MusicSubset\Dubstep\04-1572999-Mischapex-Holy business.mp3
'Born free','Dubstep',D:\MusicSubset\Dubstep\04-1622852-Mischapex-Born free.mp3
'Cutoff-Sky -  Night Rituals','Dubstep',D:\MusicSubset\Dubstep\04-1644942-Cutoff_Sky-Cutoff-Sky -  Night Rituals.mp3
'Cutoff-Sky - Ritual4 (Tenebrax remix)','Dubstep',D:\MusicSubset\Dubstep\06-1644945-Cutoff_Sky-Cutoff-Sky - Ritual4 _Tenebrax remix_.mp3
'Cutoff-Sky - Ritual4','Dubstep',D:\MusicSubset\Dubstep\07-1644940-Cutoff_Sky-Cutoff-Sky - Ritual4.mp3
'Cutoff-Sky - Clouds','Dubstep',D:\MusicSubset\Dubstep\10-1644937-Cutoff_Sky-Cutoff-Sky - Clouds.mp3
'Cutoff-Sky - Timeshall','Dubstep',D:\MusicSubset\Dubstep\20-1644927-Cutoff_Sky-Cutoff-Sky - Timeshall.mp3
'Cutoff-Sky - Celebration of Death','Dubstep',D:\MusicSubset\Dubstep\22-1644925-Cutoff_Sky-Cutoff-Sky - Celebration of Death.mp3
'Cutoff-Sky - Black Rain','Dubstep',D:\MusicSubset\Dubstep\24-1644923-Cutoff_Sky-Cutoff-Sky - Black Rain.mp3
'Cutoff-Sky - Come Again','Dubstep',D:\MusicSubset\Dubstep\25-1644921-Cutoff_Sky-Cutoff-Sky - Come Again.mp3
'Cutoff-Sky - Save the Earth','Dubstep',D:\MusicSubset\Dubstep\26-1644919-Cutoff_Sky-Cutoff-Sky - Save the Earth.mp3
