title,genre,file_path
'002 Donald Trump','DnB',D:\Music\DnB\002_Donald_Trump.mp3
'003 Traffic Jam','DnB',D:\Music\DnB\003_Traffic_Jam.mp3
'004 Circles Squares','DnB',D:\Music\DnB\004_Circles_Squares.mp3
'005 I Want To Lick The Moon','DnB',D:\Music\DnB\005_I_Want_To_Lick_The_Moon.mp3
'006 Lentil Breakdown','DnB',D:\Music\DnB\006_Lentil_Breakdown.mp3
'Cluster Bones - Cyber Crime (feat. WCry)','DnB',D:\Music\DnB\01-1617079-jumpupcrew-Cluster Bones - Cyber Crime _feat. WCry_.mp3
'Impact - Need You','DnB',D:\Music\DnB\02-1617080-jumpupcrew-Impact - Need You.mp3
'At the First Light of Dawn','DnB',D:\Music\DnB\02-1666561-KAMARINA SOUND MACHINE-At the First Light of Dawn.mp3
'Boktor-Dead ball situation','DnB',D:\Music\DnB\03-1582986-Various Artists-Boktor-Dead ball situation.mp3
'Pruf - It Smash It','DnB',D:\Music\DnB\03-1617081-jumpupcrew-Pruf - It Smash It.mp3
'Potpourri','DnB',D:\Music\DnB\03-1666564-KAMARINA SOUND MACHINE-Potpourri.mp3
'Undr Dee - Hal 9000','DnB',D:\Music\DnB\04-1617082-jumpupcrew-Undr Dee - Hal 9000.mp3
'Arabian Nights','DnB',D:\Music\DnB\04-1666551-KAMARINA SOUND MACHINE-Arabian Nights.mp3
'WCry  - Impulse Mod','DnB',D:\Music\DnB\05-1617083-jumpupcrew-WCry  - Impulse Mod.mp3
'Cutoff-Sky  - The Vortex. Part 2','DnB',D:\Music\DnB\16-1644931-Cutoff_Sky-Cutoff-Sky  - The Vortex. Part 2.mp3
'test','DnB',D:\Music\DnB\614music+dancingwithspiritsfreedl.mp3
'one04 866609','DnB',D:\Music\DnB\axaschaller+one04.mp3
'Move It','DnB',D:\Music\DnB\B-Film_-_12_-_Move_It.mp3
'Dead or Alive','DnB',D:\Music\DnB\beatcomplot+deadoralive.mp3
'*DnB* Panacea 1Hit Free DL!!!','DnB',D:\Music\DnB\beatjunkierato+dnbpanacea1hitfreedl.mp3
'*Jungle* Sensi |#1Hit Free DL!!!','DnB',D:\Music\DnB\beatjunkierato+junglesensi1hitfreedl.mp3
'War Paint','DnB',D:\Music\DnB\blackheartthesamurai+warpaint.mp3
'Inside Your Soul (BI9 remix)12','DnB',D:\Music\DnB\blackice9+insideyoursoulbi9remix.mp3
'Bloctronic - get gone (Final)','DnB',D:\Music\DnB\bloctronic+bloctronicgetgoneftjasmineknight.mp3
'Never Stop Fighting','DnB',D:\Music\DnB\Boss_Bass_-_12_-_Never_Stop_Fighting.mp3
'State of Guanabara','DnB',D:\Music\DnB\Boss_Bass_-_13_-_State_of_Guanabara.mp3
'Splashback','DnB',D:\Music\DnB\breakbeatpimp+splashback.mp3
'Css2','DnB',D:\Music\DnB\Bruce_Lee_-_01_-_Css2.mp3
'Happy Pitbul','DnB',D:\Music\DnB\Bruce_Lee_-_02_-_Happy_Pitbul.mp3
'Sqrt','DnB',D:\Music\DnB\Bruce_Lee_-_03_-_Sqrt.mp3
'Shifty','DnB',D:\Music\DnB\Bruce_Lee_-_04_-_Shifty.mp3
'Chrome','DnB',D:\Music\DnB\Bruce_Lee_-_05_-_Chrome.mp3
'Css3','DnB',D:\Music\DnB\Bruce_Lee_-_06_-_Css3.mp3
'Monosyllable','DnB',D:\Music\DnB\Cellular_-_06_-_Monosyllable.mp3
'cspaceSlowGrooveVersion 408620','DnB',D:\Music\DnB\chemicalmike+cspaceslowgrooveversion.mp3
'ArpeggioHeaven','DnB',D:\Music\DnB\chromophore+arpeggioheaven.mp3
'04 Cloudjumper - A day above the clouds','DnB',D:\Music\DnB\Cloudjumper_-_04_-_04_Cloudjumper_-_A_day_above_the_clouds.mp3
'05 Cloudjumper - Mocking the gods','DnB',D:\Music\DnB\Cloudjumper_-_05_-_05_Cloudjumper_-_Mocking_the_gods.mp3
'untitled xxx','DnB',D:\Music\DnB\crk_-_01_-_untitled_xxx.mp3
'denial_of_service_+_synthetic_play','DnB',D:\Music\DnB\crk_-_02_-_denial_of_service__synthetic_play.mp3
'untitled 4 (blue screen error version)','DnB',D:\Music\DnB\crk_-_02_-_untitled_4_blue_screen_error_version.mp3
'Minuet_in_CrK','DnB',D:\Music\DnB\crk_-_03_-_Minuet_in_CrK.mp3
'untitled 3','DnB',D:\Music\DnB\crk_-_03_-_untitled_3.mp3
'alpromazam generis','DnB',D:\Music\DnB\crk_-_04_-_alpromazam_generis.mp3
'elastic_waves','DnB',D:\Music\DnB\crk_-_04_-_elastic_waves.mp3
'orchestral madness','DnB',D:\Music\DnB\crk_-_05_-_orchestral_madness.mp3
'Billy Eilish remix master','DnB',D:\Music\DnB\cupastateprod+billieeilishlovelyremixbycupastateprod.mp3
'DarK NebuLa  Elementmp3','DnB',D:\Music\DnB\darknebula+element.mp3
'Z-Saber feat. Jake Allison (Nic B Remix)','DnB',D:\Music\DnB\Decktonic_-_01_-_Z-Saber_feat_Jake_Allison_Nic_B_Remix.mp3
'Harlem Valley','DnB',D:\Music\DnB\deepcut+harlemvalleyluvtheme.mp3
'EatMe_-_Play_Again','DnB',D:\Music\DnB\eatme+eatmeplayagain.mp3
'Angular Momentum','DnB',D:\Music\DnB\Egg_Nebula_-_01_-_Angular_Momentum.mp3
'Hidden Scapes','DnB',D:\Music\DnB\Egg_Nebula_-_01_-_Hidden_Scapes.mp3
'The Red Line','DnB',D:\Music\DnB\Egg_Nebula_-_01_-_The_Red_Line.mp3
'Killer Comets Chaser','DnB',D:\Music\DnB\Egg_Nebula_-_02_-_Killer_Comets_Chaser.mp3
'Mental Communication','DnB',D:\Music\DnB\Egg_Nebula_-_02_-_Mental_Communication.mp3
"""Things We Can't See""",'DnB',D:\Music\DnB\Egg_Nebula_-_02_-_Things_We_Cant_See.mp3
'Inner Radiance','DnB',D:\Music\DnB\Egg_Nebula_-_03_-_Inner_Radiance.mp3
'Invisible Conspiracy','DnB',D:\Music\DnB\Egg_Nebula_-_03_-_Invisible_Conspiracy.mp3
'Cannelle Chinoise','DnB',D:\Music\DnB\Egg_Nebula_-_04_-_Cannelle_Chinoise.mp3
"""L'Antidote""",'DnB',D:\Music\DnB\Egg_Nebula_-_04_-_LAntidote.mp3
'Abstract Happiness','DnB',D:\Music\DnB\Egg_Nebula_-_05_-_Abstract_Happiness.mp3
'One Up','DnB',D:\Music\DnB\Egg_Nebula_-_05_-_One_Up.mp3
'Totem','DnB',D:\Music\DnB\Egg_Nebula_-_06_-_Totem.mp3
'Interstice','DnB',D:\Music\DnB\Egg_Nebula_-_07_-_Interstice.mp3
'Serenity Under The Giant Tree','DnB',D:\Music\DnB\Egg_Nebula_-_08_-_Serenity_Under_The_Giant_Tree.mp3
'Magical Forest','DnB',D:\Music\DnB\Egg_Nebula_-_09_-_Magical_Forest.mp3
'Atlantis Curse','DnB',D:\Music\DnB\Egg_Nebula_-_10_-_Atlantis_Curse.mp3
'Slink','DnB',D:\Music\DnB\Egg_Nebula_-_11_-_Slink.mp3
'Dark Matter','DnB',D:\Music\DnB\Egg_Nebula_-_12_-_Dark_Matter.mp3
'La Vérité','DnB',D:\Music\DnB\Egg_Nebula_-_13_-_La_Vrit.mp3
'The Jumblist','DnB',D:\Music\DnB\Egg_Nebula_-_14_-_The_Jumblist.mp3
'Vulve','DnB',D:\Music\DnB\Egg_Nebula_-_15_-_Vulve.mp3
'Ermac','DnB',D:\Music\DnB\ermac+noizedemonzandebtfreeermacpfmix.mp3
'Evzone','DnB',D:\Music\DnB\evzone+ifstringscouldkill.mp3
'Nemesis','DnB',D:\Music\DnB\exit303+nemesis.mp3
'Live at RadioVaticano','DnB',D:\Music\DnB\Fabio_Crivellaro_-_02_-_Live_at_RadioVaticano.mp3
'Maceglio','DnB',D:\Music\DnB\Fabio_Crivellaro_-_03_-_Maceglio.mp3
'Me going to church on sunday','DnB',D:\Music\DnB\Fabio_Crivellaro_-_04_-_Me_going_to_church_on_sunday.mp3
'prostata electronica','DnB',D:\Music\DnB\Fabio_Crivellaro_-_07_-_prostata_electronica.mp3
'Teenagers in bondage','DnB',D:\Music\DnB\Fabio_Crivellaro_-_08_-_Teenagers_in_bondage.mp3
'D2','DnB',D:\Music\DnB\Foniqz_-_01_-_D2.mp3
'Smudj','DnB',D:\Music\DnB\Foniqz_-_02_-_Smudj.mp3
'Spectrum (Subdiffusion Mix)','DnB',D:\Music\DnB\Foniqz_-_03_-_Spectrum_Subdiffusion_Mix.mp3
'Arp 220','DnB',D:\Music\DnB\Gargoyles_Numb_End_-_01_-_Arp_220.mp3
'Gilly Grippz','DnB',D:\Music\DnB\gillygrippz+jungliztroundup.mp3
'a sock is pink among us','DnB',D:\Music\DnB\highlifestudios+9mmstraightupdustmix.mp3
'Them Never Love No Bans - DnB Mix (Germany)','DnB',D:\Music\DnB\Hot_Fire_-_Them_Never_Love_No_Bans_-_DnB_Mix_Germany.mp3
'Earth Breath','DnB',D:\Music\DnB\Human_Terminal_-_01_-_Earth_Breath.mp3
'Parallels','DnB',D:\Music\DnB\Human_Terminal_-_02_-_Parallels.mp3
'Logic Cell','DnB',D:\Music\DnB\Human_Terminal_-_03_-_Logic_Cell.mp3
'Press Any Key','DnB',D:\Music\DnB\Human_Terminal_-_04_-_Press_Any_Key.mp3
